year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.962,-17.99,,,
1992.9873,-9.87,,,
1993.0129,-17.22,,,
1993.0413,-0.27,,,
1993.0667,-19.85,,,
1993.0978,-11.41,,,
1993.1213,-7.64,,,
1993.1501,-15.54,,,
1993.1773,-18.53,,,
1993.2041,-10.04,,,
1993.2315,-24.97,,,
1993.2857,-10.95,,,
1993.3129,-19.48,,,
1993.34,-20.16,,,
1993.3672,-10.15,,,
1993.3943,-10.85,,,
1993.4213,-22.65,,,
1993.4486,-11.87,,,
1993.4759,-25.03,,,
1993.5027,-18.07,,,
1993.5301,-15.29,,,
1993.5843,-19.67,,,
1993.6121,-24.42,,,
1993.6389,-12.54,,,
1993.6659,-20.99,,,
1993.6929,-23.18,,,
1993.7195,-19.61,,,
1993.7471,-19.65,,,
1993.7743,-16.14,,,
1993.8016,-22.12,,,
1993.8559,-12.22,,,
1993.8829,-23.33,,,
1993.9103,-12.88,,,
1993.9371,-12.4,,,
1993.9646,-16.82,,,
1993.9912,-5.57,,,
1994.0188,-21.7,,,
1994.0454,-22.4,,,
1994.0729,-30.97,,,
1994.1001,-22.82,,,
1994.1272,-21.19,,,
1994.1545,-17.68,,,
1994.1817,-22.12,,,
1994.2358,-25.4,,,
1994.2632,-14.3,,,
1994.2902,-28.64,,,
1994.3175,-17.88,,,
1994.3444,-8.25,,,
1994.3717,-7.07,,,
1994.3988,-5.69,,,
1994.4259,-14.83,,,
1994.4531,-15.92,,,
1994.5073,-4.06,,,
1994.5345,-31.1,,,
1994.5616,-37.41,,,
1994.5889,-15.44,,,
1994.6159,-15.31,,,
1994.6431,-17.51,,,
1994.6703,-10.51,,,
1994.6974,-4.25,,,
1994.7246,-13.45,,,
1994.7517,-8.6,,,
1994.7787,-11.05,,,
1994.8062,-16.79,,,
1994.8332,-16.31,,,
1994.8875,-1.41,,,
1994.9145,-6.33,,,
1994.9418,0.6,,,
1994.9691,-1.83,,,
1994.9964,-12.15,,,
1995.0234,-9.82,,,
1995.0503,-12.81,,,
1995.0772,-17.16,,,
1995.1044,-14.43,,,
1995.1318,3.54,,,
1995.1587,19.12,,,
1995.2132,-14.24,,,
1995.2406,-5.12,,,
1995.2675,4.07,,,
1995.2947,9.24,,,
1995.3218,1.01,,,
1995.3761,11.59,,,
1995.4033,9.13,,,
1995.4304,-2.52,,,
1995.4576,-6.61,,,
1995.4847,-20.54,,,
1995.5391,-7.09,,,
1995.5662,-13.32,,,
1995.5933,-9.12,,,
1995.6204,15.98,,,
1995.6476,5.16,,,
1995.6746,-2.86,,,
1995.7019,-3.28,,,
1995.7291,2.14,,,
1995.7562,9.02,,,
1995.7834,7.21,,,
1995.8377,-12.35,,,
1995.8648,-6.16,,,
1995.8905,-3.51,,,
1995.9462,1.23,,,
1995.9736,-10.03,,,
1996.0002,-25.69,,,
1996.028,-19.75,,,
1996.0543,-18.9,,,
1996.0817,-16.81,,,
1996.1092,-15.43,,,
1996.1637,-6.77,,,
1996.1904,-11.71,,,
1996.2177,-21.23,,,
1996.2448,-28.32,,,
1996.272,-7.29,,,
1996.2993,-14.81,,,
1996.3263,-6.55,,,
1996.3536,-7.09,,,
1996.3805,-0.39,,,
1996.4077,12.43,,,
1996.4347,-16.29,,,
1996.4891,-27.09,,,
1996.5164,-4.96,,,
1996.5434,6.23,,,
1996.5707,8.72,,,
1996.598,-20.3,,,
1996.6251,-13.37,,,
1996.6521,-6.54,,,
1996.6792,-1.44,,,
1996.7057,-5.53,,,
1996.7339,4.66,,,
1996.7607,3.7,,,
1996.8152,5.81,,,
1996.8422,3.06,,,
1996.8691,8.94,,,
1996.8965,-8.56,,,
1996.9237,-13.42,,,
1996.9509,-10.64,,,
1996.9773,-9.7,,,
1997.005,-8.11,,,
1997.0323,15.91,,,
1997.0593,23.89,,,
1997.0864,2.47,,,
1997.1413,-16.63,,,
1997.1675,-4.99,,,
1997.1952,14.78,,,
1997.2222,-0.26,,,
1997.2493,-12.22,,,
1997.2765,-11.18,,,
1997.3037,-6.2,,,
1997.3309,6.25,,,
1997.3578,14.54,,,
1997.3852,14.14,,,
1997.4122,2.28,,,
1997.4665,-18.04,,,
1997.4935,-6.45,,,
1997.5208,-15.34,,,
1997.5479,-10.53,,,
1997.5751,-11,,,
1997.6293,-15.63,,,
1997.6566,-7.5,,,
1997.6835,2.59,,,
1997.7109,-1.17,,,
1997.7381,-11.12,,,
1997.7922,-4.43,,,
1997.8194,-10.46,,,
1997.8465,-10.63,,,
1997.8737,-10.15,,,
1997.9008,-26.84,,,
1997.928,-30.88,,,
1997.955,-28.3,,,
1997.9822,-23.27,,,
1998.0094,-7.46,,,
1998.0367,9.8,,,
1998.091,-25.59,,,
1998.118,-6.51,,,
1998.1452,-10.22,,,
1998.1723,-2.06,,,
1998.1995,0.76,,,
1998.2267,-21.52,,,
1998.254,1.16,,,
1998.2797,-7.22,,,
1998.3081,3.88,,,
1998.3353,9.62,,,
1998.3624,19.28,,,
1998.4164,-8.44,,,
1998.4438,-12.26,,,
1998.471,6.19,,,
1998.4982,11.07,,,
1998.5253,20.75,,,
1998.5525,22.86,,,
1998.6068,-0.99,,,
1998.6339,10.21,,,
1998.6611,19.47,,,
1998.688,18.22,,,
1998.7154,15.26,,,
1998.7424,-9.85,,,
1998.7693,-4.28,,,
1998.8239,24.36,,,
1998.8508,8.52,,,
1998.8782,-2.93,,,
1998.9052,-4.48,,,
1998.9324,-3.7,,,
1998.9599,17.32,,,
1998.9867,21.53,,,
1999.0142,17.1,,,
1999.0411,6.07,,,
1999.0956,23.02,,,
1999.1263,22.91,,,
1999.1495,32.24,,,
1999.1768,11.29,,,
1999.2041,17.36,,,
1999.231,-9.22,,,
1999.2584,5.29,,,
1999.2853,31.15,,,
1999.3399,16.95,,,
1999.3668,2.31,,,
1999.3939,0.02,,,
1999.4213,16.15,,,
1999.4483,19.51,,,
1999.4755,14.59,,,
1999.5026,21.56,,,
1999.5297,17.25,,,
1999.5569,15.13,,,
1999.5841,23.5,,,
1999.6112,22.89,,,
1999.6383,24.15,,,
1999.6926,14.58,,,
1999.7197,10.77,,,
1999.7466,21.68,,,
1999.7741,7.16,,,
1999.8012,12.44,,,
1999.8285,5.44,,,
1999.8556,15.91,,,
1999.8827,9.52,,,
1999.9098,11.57,,,
1999.9641,14.31,,,
1999.9912,11.23,,,
2000.0184,37.07,,,
2000.0454,32.2,,,
2000.0727,23.87,,,
2000.0994,29.4,,,
2000.1272,42.21,,,
2000.1543,16.18,,,
2000.1814,15.93,,,
2000.2085,7.81,,,
2000.2356,6.18,,,
2000.2898,30.66,,,
2000.3171,23.84,,,
2000.3442,9.17,,,
2000.3714,20.57,,,
2000.3984,24.58,,,
2000.4256,20.14,,,
2000.4528,20.26,,,
2000.4799,16.1,,,
2000.5071,10.81,,,
2000.5343,13.37,,,
2000.5885,23.11,,,
2000.6154,15.36,,,
2000.6429,6.25,,,
2000.6699,-6.21,,,
2000.6972,10.58,,,
2000.7239,11.94,,,
2000.7515,15.51,,,
2000.7785,-1.75,,,
2000.8057,14.76,,,
2000.8601,14.39,,,
2000.8863,6.47,,,
2000.9149,7.59,,,
2000.9415,6.01,,,
2000.9687,3.04,,,
2000.9956,-0.11,,,
2001.0228,2.89,,,
2001.0776,20.55,,,
2001.1046,5.12,,,
2001.1315,10.27,,,
