year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9611,13.06,,,
1992.9865,-4.77,,,
1993.0126,-3.39,,,
1993.0408,-20.67,,,
1993.0659,-31.04,,,
1993.0973,-44.8,,,
1993.1212,-21.87,,,
1993.1496,-12.01,,,
1993.1768,4.5,,,
1993.204,-5.2,,,
1993.2308,3.65,,,
1993.2852,-1.73,,,
1993.3125,5.52,,,
1993.3395,0.22,,,
1993.3667,-2.11,,,
1993.3938,-19.59,,,
1993.4209,-24.29,,,
1993.448,-16.75,,,
1993.4753,-8.46,,,
1993.502,-11.41,,,
1993.5295,-6.81,,,
1993.5836,-6.84,,,
1993.6119,-5.66,,,
1993.6381,6.75,,,
1993.6653,-6.09,,,
1993.6925,-27.92,,,
1993.7193,-35.01,,,
1993.7468,-15.62,,,
1993.774,-18.25,,,
1993.801,-12.12,,,
1993.8553,-21.95,,,
1993.8826,-19.26,,,
1993.9099,-23.71,,,
1993.9366,-2.95,,,
1993.9638,8.54,,,
1993.9906,7.92,,,
1994.018,-0.37,,,
1994.0455,-4.31,,,
1994.0722,-6.49,,,
1994.0997,-10.51,,,
1994.1268,4.67,,,
1994.1542,1.04,,,
1994.1808,0.11,,,
1994.2354,-16.97,,,
1994.2626,2.15,,,
1994.2898,2.69,,,
1994.3169,0.25,,,
1994.344,-9.98,,,
1994.3712,-13.63,,,
1994.3981,-18.6,,,
1994.4253,-12.66,,,
1994.4525,-6.2,,,
1994.5067,-15.49,,,
1994.534,2.88,,,
1994.5611,-6.42,,,
1994.5882,-14.93,,,
1994.6155,-1.74,,,
1994.6426,15.12,,,
1994.6697,12.22,,,
1994.6968,18.7,,,
1994.724,12.48,,,
1994.7511,-17.82,,,
1994.7783,-5.87,,,
1994.8055,-0.94,,,
1994.8325,10.19,,,
1994.8869,2.95,,,
1994.9141,-12.08,,,
1994.9412,6.71,,,
1994.9686,15.47,,,
1994.9954,-3.65,,,
1995.0227,-33.04,,,
1995.0497,-12.14,,,
1995.077,-13.68,,,
1995.1041,-0.25,,,
1995.1314,3.72,,,
1995.1585,-17.37,,,
1995.2128,-21.55,,,
1995.2399,-8.01,,,
1995.2671,-5.63,,,
1995.2943,9.1,,,
1995.3214,5.14,,,
1995.3756,-10.26,,,
1995.4029,-6.04,,,
1995.43,-12.53,,,
1995.457,-6.16,,,
1995.4843,-16.65,,,
